date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:32	393509/393509	---MCZ	200	added ('OK')	text/html	etag:W/%22280f4a992e3340ebd69dd1c071c1d868%22	https://akashshanmugaraj.wixsite.com/portfolio	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio.html	(from )
19:08:32	322/322	---M--	200	added ('OK')	text/plain	date:Mon,%2005%20Sep%202022%2013:38:22%20GMT	https://akashshanmugaraj.wixsite.com/robots.txt		(from )
19:08:33	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Portfolio/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:33	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Portfolio/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:34	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2031%20Aug%202022%2008:20:14%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/Portfolio/polyfill.io/v3/polyfill.mind82c.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:34	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/Portfolio/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:35	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:25%20GMT	https://akashshanmugaraj.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/decodeURIComponent(e	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:35	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:25%20GMT	https://akashshanmugaraj.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/sitemap.xml	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:35	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:25%20GMT	https://akashshanmugaraj.wixsite.com/feed.xml	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/feed.xml	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:35	178331/178331	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fb1d3aa03fe2b213333b1d5802c9a74d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.f040a3aa.bundle.min.js	C:/My%20Web%20Sites/Portfolio/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.f040a3aa.bundle.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
